figure,panel,dataset_directory,condition,slot,map_id,source_id,selection
terrain_geometry,Slab,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/034__v7-fnd-slab-adjacent,v7-fnd-slab-adjacent,26,v8:train:v7-fnd-slab-adjacent:0025,v7-dig:2bdefbda5fdf62a64c19cafd0ea7538687e162b12b645b23e810c03cdc9f11c6,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-c2x,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/004__fnd-slab-apron-c2x,fnd-slab-apron-c2x,23,curriculum-diverse-320-5128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-c3x,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/005__fnd-slab-apron-c3x,fnd-slab-apron-c3x,23,curriculum-diverse-320-4128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-d12,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/006__fnd-slab-apron-d12,fnd-slab-apron-d12,23,curriculum-diverse-320-8128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-d16,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/007__fnd-slab-apron-d16,fnd-slab-apron-d16,23,curriculum-diverse-320-9128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-apron-near,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/008__fnd-slab-apron-near,fnd-slab-apron-near,23,curriculum-diverse-320-3128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-lg-ring3x,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/009__fnd-slab-lg-ring3x,fnd-slab-lg-ring3x,31,curriculum-diverse-320-2207,foundation-source:94dddcf9d7d43effb5a7cb6c82d39f2655393c304447a5ed6760fbbaae585944,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-ring3x,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/010__fnd-slab-ring3x,fnd-slab-ring3x,23,curriculum-diverse-320-0128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-ring3x-obj,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/011__fnd-slab-ring3x-obj,fnd-slab-ring3x-obj,23,curriculum-diverse-320-14128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-ring3x-obj1,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/012__fnd-slab-ring3x-obj1,fnd-slab-ring3x-obj1,23,curriculum-diverse-320-13128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-ring3x-road,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/013__fnd-slab-ring3x-road,fnd-slab-ring3x-road,23,curriculum-diverse-320-15128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-side1,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/014__fnd-slab-side1,fnd-slab-side1,23,curriculum-diverse-320-10128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-side1-obj,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/015__fnd-slab-side1-obj,fnd-slab-side1-obj,23,curriculum-diverse-320-17128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-split,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/016__fnd-slab-split,fnd-slab-split,23,curriculum-diverse-320-11128,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-strips-ring3x,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/017__fnd-strips-ring3x,fnd-strips-ring3x,89,curriculum-diverse-320-12144,dig:20a0968324c63d5c4921bb3590514fe39dee347fbc84ae54cb56f524155cf90f,upper median dig area within training condition; slot breaks ties
all_conditions,trn-net3-side1-road,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/018__trn-net3-side1-road,trn-net3-side1-road,82,curriculum-diverse-320-27016,dig:820c84221104bc3b21b59799a7022d544ec3e6522f55b53a072f3d325d8efb2a,upper median dig area within training condition; slot breaks ties
all_conditions,trn-net3-side2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/019__trn-net3-side2,trn-net3-side2,82,curriculum-diverse-320-25016,dig:820c84221104bc3b21b59799a7022d544ec3e6522f55b53a072f3d325d8efb2a,upper median dig area within training condition; slot breaks ties
all_conditions,trn-net3-side2-s,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/020__trn-net3-side2-s,trn-net3-side2-s,48,curriculum-diverse-320-30238,dig:9db5acd13da485490dde80675a5f3fe62fbbbc69d33911a8ceee0df2773e1fad,upper median dig area within training condition; slot breaks ties
all_conditions,trn-net4-side1-road,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/021__trn-net4-side1-road,trn-net4-side1-road,88,curriculum-diverse-320-28237,dig:888af72e3e73f4f7f5df96cbba3ac2519b53719967bd7629a02542c67f0af6cc,upper median dig area within training condition; slot breaks ties
all_conditions,trn-net4-side2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/022__trn-net4-side2,trn-net4-side2,88,curriculum-diverse-320-26237,dig:888af72e3e73f4f7f5df96cbba3ac2519b53719967bd7629a02542c67f0af6cc,upper median dig area within training condition; slot breaks ties
all_conditions,trn-net4-side2-s,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/023__trn-net4-side2-s,trn-net4-side2-s,2,curriculum-diverse-320-31006,dig:2a40e188e4f3fc3c0627cc466851526bfa459a97ac60c9d56bf32d8aa53361e5,upper median dig area within training condition; slot breaks ties
all_conditions,trn-seg2-side2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/024__trn-seg2-side2,trn-seg2-side2,31,curriculum-diverse-320-23154,dig:a3da6d1bc5d41cbf69c65d2361a94daec7bdb351857ac959e6439a9e2e1fe3fb,upper median dig area within training condition; slot breaks ties
all_conditions,trn-seg3-side2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/025__trn-seg3-side2,trn-seg3-side2,43,curriculum-diverse-320-24213,dig:803262860be4996261d4c54ed0f6d08b8bc045e3c9fe32892dd0ddbc788da954,upper median dig area within training condition; slot breaks ties
all_conditions,trn-straight-altsides,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/026__trn-straight-altsides,trn-straight-altsides,59,curriculum-diverse-320-22287,dig:606f1b8912ee93c5aaadf7ddcf2fb5f015f684dfde279c6b8d2fd35eab0c20d0,upper median dig area within training condition; slot breaks ties
all_conditions,trn-straight-side1,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/027__trn-straight-side1,trn-straight-side1,59,curriculum-diverse-320-19287,dig:606f1b8912ee93c5aaadf7ddcf2fb5f015f684dfde279c6b8d2fd35eab0c20d0,upper median dig area within training condition; slot breaks ties
all_conditions,trn-straight-side1-tight,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/028__trn-straight-side1-tight,trn-straight-side1-tight,59,curriculum-diverse-320-21287,dig:606f1b8912ee93c5aaadf7ddcf2fb5f015f684dfde279c6b8d2fd35eab0c20d0,upper median dig area within training condition; slot breaks ties
all_conditions,trn-straight-side2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/029__trn-straight-side2,trn-straight-side2,59,curriculum-diverse-320-18287,dig:606f1b8912ee93c5aaadf7ddcf2fb5f015f684dfde279c6b8d2fd35eab0c20d0,upper median dig area within training condition; slot breaks ties
all_conditions,trn-tee-side2,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/030__trn-tee-side2,trn-tee-side2,27,curriculum-diverse-320-20129,dig:1678ba7e41e04bbd768ce5ed6153b23477ead339ab2fdd07636c1184c10be1a1,upper median dig area within training condition; slot breaks ties
all_conditions,trn-tee-side2-s,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/031__trn-tee-side2-s,trn-tee-side2-s,46,curriculum-diverse-320-29219,dig:93d1f8594c0417e47dbcb535edfb92cd154d542559f7a492cc8cd7d72a97ad09,upper median dig area within training condition; slot breaks ties
all_conditions,fnd-slab-allfree,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/032__fnd-slab-allfree,fnd-slab-allfree,23,fnd-slab-allfree:train:c6fcd5abdfd7f469,foundation-source:9bbae29a2e2420e97517f475e26ce7b9d2e0d3429cde0c0a4a6398a8981e9957,upper median dig area within training condition; slot breaks ties
all_conditions,trn-straight-allfree,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/033__trn-straight-allfree,trn-straight-allfree,59,trn-straight-allfree:train:49879d8151d2ec27,dig:606f1b8912ee93c5aaadf7ddcf2fb5f015f684dfde279c6b8d2fd35eab0c20d0,upper median dig area within training condition; slot breaks ties
all_conditions,v7-fnd-slab-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/034__v7-fnd-slab-adjacent,v7-fnd-slab-adjacent,26,v8:train:v7-fnd-slab-adjacent:0025,v7-dig:2bdefbda5fdf62a64c19cafd0ea7538687e162b12b645b23e810c03cdc9f11c6,upper median dig area within training condition; slot breaks ties
all_conditions,v7-fnd-irregular-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/035__v7-fnd-irregular-adjacent,v7-fnd-irregular-adjacent,15,v8:train:v7-fnd-irregular-adjacent:0014,v7-dig:f9c675ac4750663de468c6bc94640fa55fcbe5cc9d0247d6ba3252994cbcdea1,upper median dig area within training condition; slot breaks ties
all_conditions,v7-fnd-courtyard-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/036__v7-fnd-courtyard-adjacent,v7-fnd-courtyard-adjacent,22,v8:train:v7-fnd-courtyard-adjacent:0021,v7-dig:a6eca5e4eccde72255e224bd40d73d29ce9b1c0df92a789db66eed12ebad39ac,upper median dig area within training condition; slot breaks ties
all_conditions,v7-fnd-bearing-walls-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/037__v7-fnd-bearing-walls-adjacent,v7-fnd-bearing-walls-adjacent,45,v8:train:v7-fnd-bearing-walls-adjacent:0044,v7-dig:83b6982f10b8284b079cc6d6551ffdab778d4b31e68d5fd8f9052b0053fe4b0a,upper median dig area within training condition; slot breaks ties
all_conditions,v7-fnd-pads-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/038__v7-fnd-pads-adjacent,v7-fnd-pads-adjacent,71,v8:train:v7-fnd-pads-adjacent:0070,v7-dig:3d67dddf4f7257c5b737d7d32c7b0f3d5d5ceebd761ef13d79286824980a9ea4,upper median dig area within training condition; slot breaks ties
all_conditions,v7-fnd-courtyard-pads-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/039__v7-fnd-courtyard-pads-adjacent,v7-fnd-courtyard-pads-adjacent,49,v8:train:v7-fnd-courtyard-pads-adjacent:0048,v7-dig:ceb18fefee496d56129e1ddab15966a5971ef4ce5bae6ceab8aa0292d6c64a1c,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-straight-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/040__v7-trn-straight-adjacent,v7-trn-straight-adjacent,45,v8:train:v7-trn-straight-adjacent:0044,v7-dig:6ae00a2d29fa8f17650b4cbaa4088b4a2eefd50b257a5fd48b210e110a6148c2,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-dogleg-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/041__v7-trn-dogleg-adjacent,v7-trn-dogleg-adjacent,47,v8:train:v7-trn-dogleg-adjacent:0046,v7-dig:b63ade5d6e3e583e4875cd349dc417c951f5a00669e083d0815d13c012048562,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-tee-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/042__v7-trn-tee-adjacent,v7-trn-tee-adjacent,82,v8:train:v7-trn-tee-adjacent:0081,v7-dig:ff1e1030150e3d8ae9a8aa9ee1eda81e65d7d0a1f7f412772c319bc884491a7d,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-cross-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/043__v7-trn-cross-adjacent,v7-trn-cross-adjacent,71,v8:train:v7-trn-cross-adjacent:0070,v7-dig:832b6c78c40090d62d74aa650a2a68037b0837313d73e5f40d22967b3b5a0b3b,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-double-t-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/044__v7-trn-double-t-adjacent,v7-trn-double-t-adjacent,21,v8:train:v7-trn-double-t-adjacent:0020,v7-dig:7e258c707ea32ff04d0871b04c4a0bae0a6b047fc5d6cba9cf0dc1941439660d,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-network3-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/045__v7-trn-network3-adjacent,v7-trn-network3-adjacent,44,v8:train:v7-trn-network3-adjacent:0043,v7-dig:6af05b61e5ba40a5c2908da6874e860b7b375cbb819b6a8f2acc035c7acba2ac,upper median dig area within training condition; slot breaks ties
all_conditions,v7-trn-disconnected-pair-adjacent,../.artifacts/terra_v8_trench_finite_enriched_20260819/train/046__v7-trn-disconnected-pair-adjacent,v7-trn-disconnected-pair-adjacent,82,v8:train:v7-trn-disconnected-pair-adjacent:0081,v7-dig:d7200f055288a051d7efecf160ae930e8f5cc72482a9172719a9fefe591b4078,upper median dig area within training condition; slot breaks ties
foundation_suite,Square,../.artifacts/terra_foundation_sweep_20260907/bank/train/all,easy_square,97,easy-foundation-square-00097,procedural:easy-foundation:20260907:97,upper median dig area within training shape; slot breaks ties
foundation_suite,Rectangle,../.artifacts/terra_foundation_sweep_20260907/bank/train/all,easy_rectangle,190,easy-foundation-rectangle-00191,procedural:easy-foundation:20260907:191,upper median dig area within training shape; slot breaks ties
foundation_suite,L shape,../.artifacts/terra_foundation_sweep_20260907/bank/train/all,easy_l,153,easy-foundation-l-00153,procedural:easy-foundation:20260907:153,upper median dig area within training shape; slot breaks ties
